1B	50	  	  	G-6 i27
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1A	59	  	  	E-7 i26
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1A	59	  	  	E-7 i26
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	  	  	D-7 i28
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	  	  	D-7 i28
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1A	52	  	  	A-6 i26
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1C	59	  	  	E-7 i28
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1A	52	  	  	A-6 i26
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1C	59	  	  	E-7 i28
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	  	  	D-7 i28
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	  	  	D-7 i28
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1B	50	03	8F	G-6 i27 por8F
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1A	59	03	8F	E-7 i26 por8F
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1B	50	03	8E	G-6 i27 por8E
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1A	59	03	8D	E-7 i26 por8D
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1B	50	03	8C	G-6 i27 por8C
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	03	8B	D-7 i28 por8B
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1B	50	03	8A	G-6 i27 por8A
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	03	89	D-7 i28 por89
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1A	52	03	88	A-6 i26 por88
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1C	59	03	87	E-7 i28 por87
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1A	52	03	86	A-6 i26 por86
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1C	59	03	85	E-7 i28 por85
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1B	50	03	84	G-6 i27 por84
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	03	83	D-7 i28 por83
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1B	50	03	82	G-6 i27 por82
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	03	82	D-7 i28 por82
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1A	59	  	  	E-7 i26
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1A	59	  	  	E-7 i26
  	  	  	  	---
1C	54	  	  	B-6 i28
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1C	57	  	  	D-7 i28
  	  	  	  	---
1A	54	  	  	B-6 i26
  	  	  	  	---
1B	50	  	  	G-6 i27
  	  	  	  	---
