  	  	03	F0	--- porF0
1D	50	01	0C	G-6 i29 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	59	01	0C	E-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	50	01	0C	G-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	59	01	0C	E-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	50	01	0C	G-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	57	01	0C	D-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	50	01	0C	G-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	57	01	0C	D-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	52	01	0C	A-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	59	01	0C	E-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	52	01	0C	A-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	59	01	0C	E-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	50	01	0C	G-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	57	01	0C	D-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	50	01	0C	G-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	57	01	0C	D-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	50	01	0C	G-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	59	01	0C	E-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	50	01	0C	G-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	59	01	0C	E-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	50	01	0C	G-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	57	01	0C	D-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	50	01	0C	G-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	57	01	0C	D-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	52	01	0C	A-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	59	01	0C	E-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	52	01	0C	A-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	59	01	0C	E-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	50	01	0C	G-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	57	01	0C	D-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	50	01	0C	G-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	57	01	0C	D-7 sld0C
  	  	01	0C	--- sld0C
  	54	03	F2	B-6 porF2
  	  	03	F0	--- porF0
1D	50	01	0C	G-6 i29 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	59	01	0C	E-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	50	01	0C	G-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	59	01	0C	E-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	50	01	0C	G-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	57	01	0C	D-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	50	01	0C	G-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	57	01	0C	D-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	52	01	0C	A-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	59	01	0C	E-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	52	01	0C	A-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	59	01	0C	E-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	50	01	0C	G-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	57	01	0C	D-7 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
  	  	01	0C	--- sld0C
  	50	01	0C	G-6 sld0C
  	  	01	0C	--- sld0C
  	54	01	0C	B-6 sld0C
